username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,,
,2016-07-03 01:38,0,0,"es wäre schön, wenn ich auf der #tddl16 Website ein Programm finden könnte...",,,#tddl16,7.49386914680168E+017,https://twitter.com/g4rten/status/749386914680168448,,,,
,2016-07-03 01:18,0,1,Finde ich wohl. Wir schreiben an Hommagen an die Angst des Tormanns beim Elfmeter #tddl16,,,#tddl16,7.49381718386369E+017,https://twitter.com/Lapizistik/status/749381718386368512,,,,
,2016-07-03 00:46,4,7,"Wer nach #ITAGER nicht schlafen kann, kann sich noch Folge 5 des Bachmannpreis-Podcast anhören http://www. literaturcafe.de/bachmannpreis- podcast-2016-folge-5-der-dritte-tag-mit-sandra-kegel/ … #tddl16",,,#ITAGER #tddl16,7.49373597962109E+017,https://twitter.com/literaturcafe/status/749373597962108928,,,,
,2016-07-03 00:40,0,4,Eine Zombiegeschichte über untote Männer ohne Samen! Wie ambitioniert für einen Jungautor! #tddl16 #heilhysteria,,,#tddl16 #heilhysteria,7.4937215710131E+017,https://twitter.com/mimischnitzel/status/749372157101309952,,,,
,2016-07-03 00:30,0,2,"#tddl16 twittern fehlt abends nun fußball: sollte ich je einen kampfhund besitzen, taufe ich ihn Giaccherini #GERITA pic.twitter.com/eYR97ZPA8l",,,#tddl16 #GERITA,7.49369559199674E+017,https://twitter.com/awriterintherye/status/749369559199674368,,,,
,2016-07-03 00:21,0,0,Ich finde ja sie sollten #tddl16 auch per Elfmeterschießen entscheiden.,,,#tddl16,7.49367533510259E+017,https://twitter.com/Lapizistik/status/749367533510258688,,,,
,2016-07-02 23:46,2,4,"Wäre dieses #GERITA Spiel ein Plot, bei #tddl16 würde man es verreissen.",,,#GERITA #tddl16,7.49358543711658E+017,https://twitter.com/clarityandchaos/status/749358543711657984,,,,
,2016-07-02 23:45,0,3,Hoffentlich müssen die morgen bei #tddl16 auch Elfmeterschießen machen.,,,#tddl16,7.49358466809131E+017,https://twitter.com/JollySea/status/749358466809131010,,,,
,2016-07-02 23:36,0,0,lg aus dem Adlershof @KlausKastberger italia poetische Verzögerungen #tddl16,,@KlausKastberger,#tddl16,7.49356000487076E+017,https://twitter.com/callisti1010/status/749356000487075840,,,,
,2016-07-02 23:16,0,1,Ja. Strigl.,,,,7.49351174936166E+017,https://twitter.com/frautravnicek/status/749351174936166400,,,,
,2016-07-02 22:53,0,0,"Ja, Fliedl und Strigl.",,,,7.4934522921658E+017,https://twitter.com/U_Batke/status/749345229216579584,,,,
,2016-07-02 22:50,0,3,wieso? Sind doch beides Wettbewerbe. #tddl16 ruhig auch mal als Turnier begreifen und #GERITA als Literatur https:// twitter.com/Kunstseidene/s tatus/749315971710607360 …,,,#tddl16 #GERITA,7.49344630286803E+017,https://twitter.com/_Bart___/status/749344630286802946,,,,
,2016-07-02 22:37,0,0,So. Jetzt ist ein Tor gefallen. Da kann ich nun die Hotelterrasse räumen. #GERITA #tddl16 #vonferntrötetspublicviewinginKlagenfurt,,,#GERITA #tddl16 #vonferntr,7.49341153741443E+017,https://twitter.com/DorisBrockmann/status/749341153741443072,,,,
,2016-07-02 22:36,0,1,@tddl16 Dann sollte es wohl mindestens Lendhafen mit Sargnagel und Kohlweis heißen,,@tddl16,,7.49340973474472E+017,https://twitter.com/Likkeliz/status/749340973474471937,,,,
,2016-07-02 22:07,0,1,Ich habe wegen Marko Dinic ''Balkan'' und wegen Stefanie Sargnagel ''Hier kommt Kurt'' als Ohrwürmer. #tddl16 #tddl,,,#tddl16 #tddl,7.4933381434694E+017,https://twitter.com/streunendekatze/status/749333814346940417,,,,
,2016-07-02 21:58,0,0,"#tddl16 Die Autoren sind großteils sehr gut, die Jury odz großteils eine Katastrophe",,,#tddl16,7.4933143999336E+017,https://twitter.com/RobertHelsig/status/749331439993360385,,,,
,2016-07-02 21:58,3,3,"Halbzeit! Beste Zeit, sich das Stimmungsbild zu den beiden letzten Lesungen des #tddl16 durchzulesen. http://www. fixpoetry.com/feuilleton/exp ress/schreibszene-ffm/bachmann%202016 …",,,#tddl16,7.49331373903712E+017,https://twitter.com/SchreibszeneFFM/status/749331373903712256,,,,
,2016-07-02 21:41,0,1,Juri Steiner würde sich da Spiel gerne beim Schwimmen angucken. #GERITA #tddl16 #EURO2016,,,#GERITA #tddl16 #EURO2016,7.49327263443907E+017,https://twitter.com/DKundic/status/749327263443906560,,,,
,2016-07-02 21:36,0,0,"#tddl16 quote für österreichische Musik natürlich hoch: Sex jams, nsgugl, voodoo Jürgens, Nino aus Wien, ... #bachmannlab",,,#tddl16 #bachmannlab,7.49325991445688E+017,https://twitter.com/mrtndueller/status/749325991445688320,,,,
,2016-07-02 21:26,0,1,Ambitioniertes Experiment im Lendhafen Literatur & Fussball ... GRANDIOS #tddl16,,,#tddl16,7.49323473147789E+017,https://twitter.com/wolfgangHol/status/749323473147789312,,,,
,2016-07-02 21:21,0,1,Leute! Gleich public viewing vor der Kasnudelfabrik! #GERITA #tddl16,,,#GERITA #tddl16,7.49322070954213E+017,https://twitter.com/MCwurme/status/749322070954213376,,,,
,2016-07-02 21:20,0,3,"Schnell noch alle verpassten #tddl16 Lesungen und Besprechungen nachhören, damit ich morgen mitfiebern kann.",,,#tddl16,7.49321753600619E+017,https://twitter.com/feuerfisch/status/749321753600618496,,,,
,2016-07-02 21:01,0,2,"Alles singt, es wird ehrfürchtig gelauscht. #Lendhafen #tddl16 #EURO2016 #GERITA pic.twitter.com/eFyAguQTMC",,,#Lendhafen #tddl16 #EURO2016 #GERITA,7.4931710653406E+017,https://twitter.com/anobererlacher/status/749317106534060033,,,,
,2016-07-02 21:00,0,0,#tddl16 riecht Benzin,,,#tddl16,7.4931674365968E+017,https://twitter.com/EpicsBot/status/749316743659679745,,,,
,2016-07-02 20:55,0,0,Vor zwei Stunden das obligatorische Wiener Schnitzel im Landeshofgasthaus gegessen und noch immer pappsatt. #tddl16,,,#tddl16,7.4931553526811E+017,https://twitter.com/DorisBrockmann/status/749315535268110337,,,,
,2016-07-02 20:53,0,2,... Wobei es gäbe ne live-Übertragung im lendhafen. Stört nur wenig. Der fussball. #bachmannlab #tddl16 pic.twitter.com/DZROljSW9c,,,#bachmannlab #tddl16,7.49314990700655E+017,https://twitter.com/mrtndueller/status/749314990700654592,,,,
,2016-07-02 20:51,0,0,"#bachmannlab squalloscope nun live im lendhafen. Erstes Lied, weitere folgen. Vergesst Fußball! #tddl16",,,#bachmannlab #tddl16,7.49314475359146E+017,https://twitter.com/mrtndueller/status/749314475359145984,,,,
,2016-07-02 20:45,0,3,"5. #tddl16 -Audiopodcast fertigbesprochen. Jetzt musst @literaturcafe das Ganze noch aufbereiten, damit es auf Sendung gehen kann.",,@literaturcafe,#tddl16,7.49313113867088E+017,https://twitter.com/DorisBrockmann/status/749313113867087872,,,,
,2016-07-02 20:36,0,5,Name für ein Stillleben: Lendhafen mit #sargnagel - #bachmannlab #tddl16 #tddl @tddl16 pic.twitter.com/YH9g8Leoud,,@tddl16,#sargnagel #bachmannlab #tddl16 #tddl,7.49310699696972E+017,https://twitter.com/Likkeliz/status/749310699696971777,,,,
,2016-07-02 20:34,0,2,Field recording im Lendhafen mit #sargnagel und #Spinnen (in echt jetzt) am Desktop #tddl16 #EURO2016,,,#sargnagel #Spinnen #tddl16 #EURO2016,7.49310171705467E+017,https://twitter.com/wolfgangHol/status/749310171705466880,,,,
,2016-07-02 20:30,1,1,#komm #grad #aus #dem #regen Retweet und like damit leute voten #GERITA #SuzukiSaturdays #tddl16 #KeinQudsTag,,,#komm #grad #aus #dem #regen #GERITA #SuzukiSaturdays #tddl16 #KeinQudsTag,7.49309266750804E+017,https://twitter.com/HeroAlabastia/status/749309266750803968,,,,
,2016-07-02 20:29,0,11,„Stadtschreiber_in Klagenfurt” klingt ja mehr so nach Bestrafung als nach Preis #tddl16,,,#tddl16,7.49309054271558E+017,https://twitter.com/OljaAlvir/status/749309054271557632,,,,
,2016-07-02 20:28,1,3,#bachmannlab #tddl16 wir besorgen sargnagel den Bachmannpreis. Live im Klagenfurter lendhafen.,,,#bachmannlab #tddl16,7.49308677908271E+017,https://twitter.com/mrtndueller/status/749308677908271105,,,,
,2016-07-02 20:16,1,12,"Dass ausgerechnet der gesellschaftspolitisch verkorksteste Text von einer kam, die Sozio heißt. Muahahaha. #tddl16 #witznachreichung",,,#tddl16 #witznachreichung,7.49305670848115E+017,https://twitter.com/Wolfseule/status/749305670848114689,,,,
,2016-07-02 20:06,0,2,"Favoriten: Isabelle Lehn, Marko Dinić, Sharon Dodua Otoo, Sylvie Schenk und Ada Dorian. #tddl16",,,#tddl16,7.49303182006837E+017,https://twitter.com/leseleuchtturm/status/749303182006837248,,,,
,2016-07-02 20:02,0,0,Das neue heiße Genre-Shit heißt ja nicht umsonst: Befindlichkeitsprosa #tddl16 https:// twitter.com/milch_honig/st atus/749158387020099584 …,,,#tddl16,7.49302151864877E+017,https://twitter.com/txt_werkstatt/status/749302151864877056,,,,
,2016-07-02 20:00,0,5,"brexit bachmann ballsport - nein mann, ich will lieber tanzen #brexit #tddl16 #em2016",,,#brexit #tddl16 #em2016,7.49301626444325E+017,https://twitter.com/nouvelle_wagnis/status/749301626444324865,,,,
,2016-07-02 19:52,1,1,"Wer bekommt Ihre ""douze points""? Countdown für den BKS-Publikumspreis: http://www. 3sat.de/page/?source=/ specials/187321/index.html … #tddl16 #tddl",,,#tddl16 #tddl,7.49299735983485E+017,https://twitter.com/BKSBank/status/749299735983484928,,,,
,2016-07-02 19:47,0,3,lösung: tomer gardi. (auf dass @stefansargnagel und @sharondoduaotoo das rennen eh unter sich ausmachen.) #tddl16 pic.twitter.com/zK4t3PlZAO,,@stefansargnagel @sharondoduaotoo,#tddl16,7.49298429386453E+017,https://twitter.com/blaugraufrau/status/749298429386452992,,,,
,2016-07-02 19:40,1,2,Noch bis 20 Uhr abstimmen. #tddl16 https:// twitter.com/literaturcafe/ status/749210932446978048 …,,,#tddl16,7.49296578570117E+017,https://twitter.com/HansHuett/status/749296578570117124,,,,
,2016-07-02 19:38,0,0,"Anderer Kontext,aber mein Fazit zu #tddl16 ""Aus Hunderten offenen Mündern kam kein Wort,nur kleine Dampfwölkchen"" E. Vodolazkin: Laurus (10)",,,#tddl16,7.49296275024146E+017,https://twitter.com/litterazette/status/749296275024146432,,,,
,2016-07-02 19:30,1,2,"#tddl16 neue Prognose: BP für #otoo , kelag für #wolf , publikum für #sargnagel , 3sat entweder #zwicky , #schenk oder #dinic .",,,#tddl16 #otoo #wolf #sargnagel #zwicky #schenk #dinic,7.49294285695123E+017,https://twitter.com/MissLightstone/status/749294285695123460,,,,
,2016-07-02 19:30,1,2,Wenige Minuten noch! Stimmt für Jan Snela beim Bachmann-Publikumspreis #tddl16 http:// bit.ly/299SfUg pic.twitter.com/vBo2cAuapF,,,#tddl16,7.49294090475287E+017,https://twitter.com/KlettCottaTweet/status/749294090475286528,,,,
,2016-07-02 19:30,1,1,Wenige Minuten noch! Stimmt für Jan Snela beim Bachmann-Publikumspreis #tddl16 http:// bit.ly/299SfUg pic.twitter.com/WW2A59woAy,,,#tddl16,7.49294090416628E+017,https://twitter.com/HobbitPresse/status/749294090416627713,,,,
,2016-07-02 19:30,1,1,Wenige Minuten noch! Stimmt für Jan Snela beim Bachmann-Publikumspreis #tddl16 http:// bit.ly/299SfUg pic.twitter.com/BsznwHO89a,,,#tddl16,7.49294090378842E+017,https://twitter.com/TropenVerlag/status/749294090378842112,,,,
,2016-07-02 19:30,1,1,Wenige Minuten noch! Stimmt für Jan Snela beim Bachmann-Publikumspreis #tddl16 http:// bit.ly/299SfUg pic.twitter.com/ofqK4ZrlkO,,,#tddl16,7.49294090223702E+017,https://twitter.com/KlettCottaBlog/status/749294090223702016,,,,
,2016-07-02 19:17,1,1,#teamgardi #tddl16 #tddl,,,#teamgardi #tddl16 #tddl,7.49290797405725E+017,https://twitter.com/dekabrista/status/749290797405724672,,,,
,2016-07-02 19:15,0,0,#tddl16 bindet @StunEpic,,@StunEpic,#tddl16,7.49290317942231E+017,https://twitter.com/EpicsBot/status/749290317942231040,,,,
,2016-07-02 19:13,0,0,"#tddl16 #snela nee, snela hat keinerlei ähnlichkeit mit jack white. lange haare ändern nix dran. siehe äpfel und birnen.",,,#tddl16 #snela,7.4929002372028E+017,https://twitter.com/MissLightstone/status/749290023720280064,,,,
,2016-07-02 19:13,1,0,#tddl16 #Publikumspreis #Bachmannpreis Abstimmen noch bis 20:00 hier http://www. 3sat.de/page/?source=/ specials/187321/index.html …,,,#tddl16 #Publikumspreis #Bachmannpreis,7.4928979875457E+017,https://twitter.com/KarinSakowski/status/749289798754570241,,,,
,2016-07-02 19:08,2,2,*stimmt für Jack White #tddl16 #snela https:// twitter.com/HobbitPresse/s tatus/749226162547593217 …,,,#tddl16 #snela,7.49288598810333E+017,https://twitter.com/thedailyfrown/status/749288598810333184,,,,
,2016-07-02 19:03,2,3,Er hat 1977 den ersten Ingeborg-Bachmann-Preis gewonnen: Erinnerung an den Kärntner Poeten Gert Jonke. #tddl16 http://www. wienerzeitung.at/themen_channel /literatur/autoren/828738_Wunderwelten-am-Wortfoerderband.html …,,,#tddl16,7.49287279655432E+017,https://twitter.com/WienerZeitung/status/749287279655432192,,,,
,2016-07-02 19:03,2,8,and for the readers of the last day of #tddl16 https://www. youtube.com/watch?v=nw_8vx 92W6I … (courtesy of the beautiful @3WomenBerlin ) #CantGetEnoughHope,,@3WomenBerlin,#tddl16 #CantGetEnoughHope,7.49287276950225E+017,https://twitter.com/SharonDoduaOtoo/status/749287276950224896,,,,
,2016-07-02 18:57,1,0,Noch bis 20 Uhr könnt ihr abstimmen für den Publikumspreis. #tddl16 http://www. 3sat.de/page/?source=/ specials/187321/index.html …,,,#tddl16,7.49285796683866E+017,https://twitter.com/sammelmappe/status/749285796683866113,,,,
,2016-07-02 18:54,1,4,. @KlausKastberger gefiel mir als Juror in diesem Jahr noch besser als im letzten Jahr. #tddl16,,@KlausKastberger,#tddl16,7.49285058117267E+017,https://twitter.com/Herr_Martinsen/status/749285058117267456,,,,
,2016-07-02 18:42,1,3,Ich habe für Sharon Dodua Otoo und „Herr Gröttrup setzt sich hin“ gestimmt. Ein wundervoller Text! #tddl16 http://www. 3sat.de/page/?source=/ specials/187321/index.html …,,,#tddl16,7.49282043616428E+017,https://twitter.com/Herr_Martinsen/status/749282043616428032,,,,
,2016-07-02 18:42,0,7,ich kann nicht aufhören in ausrufezeichen zu denken!!!! bachmannpreis hat mich zu 1 wutbürger gemacht!!!!! wo kann ich aussteigen? #tddl16,,,#tddl16,7.49281986653585E+017,https://twitter.com/quadererer/status/749281986653585408,,,,
,2016-07-02 18:30,0,0,"Mein Essay für @stefansargnagel war zu lang, hab @3sat also #Wahlwiederholung angedroht. Geht hier: http://www. 3sat.de/page/?source=/ specials/187321/index.html … #tddl16",,@stefansargnagel @3sat,#Wahlwiederholung #tddl16,7.49279017371566E+017,https://twitter.com/fmfdlr/status/749279017371566080,,,,
,2016-07-02 18:23,0,0,Bis 20 Uhr für #teamsargnagel stimmen! http://www. 3sat.de/page/?source=/ page/&scsrc=g&tab=2&division=themen&source=/kulturzeit/specials/187595/index.htm&feld0=SARGNAGEL … #tddl #tddl16 Diesmal sind wir parteiisch.,,,#teamsargnagel #tddl #tddl16,7.49277366313165E+017,https://twitter.com/mkrtxt/status/749277366313164800,,,,
